id,name_x,height,weight,hp_x,attack_x,defense_x,s_attack,s_defense,speed_x,type,evo_set,info,name_y,type_1,type_2,total,hp_y,attack_y,defense_y,sp._atk,sp._def,speed_y,generation_x,legendary,type1_x,type2_x,evolution,ability,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name_y,percentage_male,sp_attack,sp_defense,speed,type1_y,type2_y,weight_kg,generation_y,is_legendary,name,type1_base,type2_base,classification_base,height_(m)_base,weight_(kg)_base,abilities_y,generation_base,legendary_status_base,type1_df6,type2_df6,classification_df6,height_(m)_df6,weight_(kg)_df6,abilities_base,generation_df6,legendary_status_df6,type1,type2,classification,height_(m),weight_(kg),abilities_df6,generation,legendary_status
1,bulbasaur,7,69,45,49,49,65,65,45,"{grass,poison}",1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,Bulbasaur,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False,Grass,Poison,ivysaur,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49.0,5120.0,70.0,318.0,45,Seed Pokémon,49.0,1059860.0,0.7,45.0,Fushigidaneフシギダネ,Bulbasaur,88.1,65.0,65.0,45.0,grass,poison,6.9,1.0,0.0,Bulbasaur,Grass,Poison,Seed Pokémon,0.7,6.9,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,0.7,6.9,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,0.7,6.9,"Overgrow, Chlorophyll",1.0,No
2,ivysaur,10,130,60,62,63,80,80,60,"{grass,poison}",1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Ivysaur,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False,Grass,Poison,venusaur,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62.0,5120.0,70.0,405.0,45,Seed Pokémon,63.0,1059860.0,1.0,60.0,Fushigisouフシギソウ,Ivysaur,88.1,80.0,80.0,60.0,grass,poison,13.0,1.0,0.0,Ivysaur,Grass,Poison,Seed Pokémon,1.0,13.0,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,1.0,13.0,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,1.0,13.0,"Overgrow, Chlorophyll",1.0,No
3,venusaur,20,1000,80,82,83,100,100,80,"{grass,poison}",1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Venusaur,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False,Grass,Poison,,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100.0,5120.0,70.0,625.0,45,Seed Pokémon,123.0,1059860.0,2.0,80.0,Fushigibanaフシギバナ,Venusaur,88.1,122.0,120.0,80.0,grass,poison,100.0,1.0,0.0,Venusaur,Grass,Poison,Seed Pokémon,2.0,100.0,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,2.0,100.0,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,2.0,100.0,"Overgrow, Chlorophyll",1.0,No
3,venusaur,20,1000,80,82,83,100,100,80,"{grass,poison}",1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,VenusaurMega Venusaur,Grass,Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0,1.0,False,Grass,Poison,,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100.0,5120.0,70.0,625.0,45,Seed Pokémon,123.0,1059860.0,2.0,80.0,Fushigibanaフシギバナ,Venusaur,88.1,122.0,120.0,80.0,grass,poison,100.0,1.0,0.0,Venusaur,Grass,Poison,Seed Pokémon,2.0,100.0,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,2.0,100.0,"Overgrow, Chlorophyll",1.0,No,Grass,Poison,Seed Pokémon,2.0,100.0,"Overgrow, Chlorophyll",1.0,No
4,charmander,6,85,39,52,43,60,50,65,{fire},2,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",Charmander,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,1.0,False,Fire,,charmeleon,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52.0,5120.0,70.0,309.0,45,Lizard Pokémon,43.0,1059860.0,0.6,39.0,Hitokageヒトカゲ,Charmander,88.1,60.0,50.0,65.0,fire,,8.5,1.0,0.0,Charmander,Fire,,Lizard Pokémon,0.6,8.5,"Blaze, Solar-power",1.0,No,Fire,,Lizard Pokémon,0.6,8.5,"Blaze, Solar-power",1.0,No,Fire,,Lizard Pokémon,0.6,8.5,"Blaze, Solar-power",1.0,No
5,charmeleon,11,190,58,64,58,80,65,80,{fire},2,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",Charmeleon,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,1.0,False,Fire,,charizard,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64.0,5120.0,70.0,405.0,45,Flame Pokémon,58.0,1059860.0,1.1,58.0,Lizardoリザード,Charmeleon,88.1,80.0,65.0,80.0,fire,,19.0,1.0,0.0,Charmeleon,Fire,,Flame Pokémon,1.1,19.0,"Blaze, Solar-power",1.0,No,Fire,,Flame Pokémon,1.1,19.0,"Blaze, Solar-power",1.0,No,Fire,,Flame Pokémon,1.1,19.0,"Blaze, Solar-power",1.0,No
6,charizard,17,905,78,84,78,109,85,100,"{fire,flying}",2,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,Charizard,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False,Fire,Flying,,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,634.0,45,Flame Pokémon,78.0,1059860.0,1.7,78.0,Lizardonリザードン,Charizard,88.1,159.0,115.0,100.0,fire,flying,90.5,1.0,0.0,Charizard,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No
6,charizard,17,905,78,84,78,109,85,100,"{fire,flying}",2,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,CharizardMega Charizard X,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,1.0,False,Fire,Flying,,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,634.0,45,Flame Pokémon,78.0,1059860.0,1.7,78.0,Lizardonリザードン,Charizard,88.1,159.0,115.0,100.0,fire,flying,90.5,1.0,0.0,Charizard,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No
6,charizard,17,905,78,84,78,109,85,100,"{fire,flying}",2,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,CharizardMega Charizard Y,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,1.0,False,Fire,Flying,,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,634.0,45,Flame Pokémon,78.0,1059860.0,1.7,78.0,Lizardonリザードン,Charizard,88.1,159.0,115.0,100.0,fire,flying,90.5,1.0,0.0,Charizard,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No,Fire,Flying,Flame Pokémon,1.7,90.5,"Blaze, Solar-power",1.0,No
7,squirtle,5,90,44,48,65,50,64,43,{water},3,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",Squirtle,Water,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,1.0,False,Water,,wartortle,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48.0,5120.0,70.0,314.0,45,Tiny Turtle Pokémon,65.0,1059860.0,0.5,44.0,Zenigameゼニガメ,Squirtle,88.1,50.0,64.0,43.0,water,,9.0,1.0,0.0,Squirtle,Water,,Tiny Turtle Pokémon,0.5,9.0,"Torrent, Rain-dish",1.0,No,Water,,Tiny Turtle Pokémon,0.5,9.0,"Torrent, Rain-dish",1.0,No,Water,,Tiny Turtle Pokémon,0.5,9.0,"Torrent, Rain-dish",1.0,No
